ATCOCode,LocalityName,ParentLocalityName,Longitude,Latitude
1800EB34761,Abbey Hey,Gorton,-2.158981,53.46968
1800EB34771,Abbey Hey,Gorton,-2.15901,53.46944
1800EB34781,Abbey Hey,Gorton,-2.158008,53.46737
1800EB34791,Abbey Hey,Gorton,-2.157736,53.46712
1800EB34801,Abbey Hey,Gorton,-2.159842,53.46648
1800EB34811,Abbey Hey,Gorton,-2.16067,53.46623
1800EB34821,Abbey Hey,Gorton,-2.163125,53.466
1800EB34831,Abbey Hey,Gorton,-2.163908,53.4661
1800EB34841,Abbey Hey,Gorton,-2.165152,53.46435
1800EB34851,Abbey Hey,Gorton,-2.165226,53.46423
1800EBH0501,Abbey Hey,Gorton,-2.155842608,53.46828094
1800EBH0502,Abbey Hey,Gorton,-2.156206,53.46882
1800EBH0511,Abbey Hey,Gorton,-2.15209,53.4658
1800EBH0512,Abbey Hey,Gorton,-2.153984,53.46678
1800EBH2031,Abbey Hey,Gorton,-2.155977919,53.46820886
1800EHH2121,Abbey Hey,Gorton,-2.155553,53.4675
1800ED03451,Abbey Hills,,-2.084079,53.52965
1800ED03511,Abbey Hills,,-2.083701,53.52927
1800ED08761,Abbey Hills,,-2.086779,53.52943
1800EDH1261,Abbey Hills,,-2.085106,53.53019
1800EDH1262,Abbey Hills,,-2.085106,53.53019
1800WK03771,Abbey Lane,Leigh,-2.53534,53.51541
1800WK08641,Abbey Lane,Leigh,-2.532586,53.51711
1800WK08642,Abbey Lane,Leigh,-2.532586,53.51711
1800WK08651,Abbey Lane,Leigh,-2.534888,53.51668
1800WK08681,Abbey Lane,Leigh,-2.533706,53.51503
1800WK10501,Abbey Lane,Leigh,-2.53251,53.51702
1800WK35651,Abbey Lane,Leigh,-2.530667,53.51682
1800WK35661,Abbey Lane,Leigh,-2.530266,53.51729
1800WK01661,Abram,Wigan,-2.586205,53.51636
1800WK01671,Abram,Wigan,-2.587517,53.51631
1800WK01681,Abram,Wigan,-2.590487,53.51626
1800WK01691,Abram,Wigan,-2.593788713,53.51616434
1800WK01701,Abram,Wigan,-2.594042936,53.51601027
1800WK01711,Abram,Wigan,-2.596577,53.51609
1800WK01721,Abram,Wigan,-2.596291747,53.5161339
1800WK01731,Abram,Wigan,-2.596852,53.51524
1800WK01741,Abram,Wigan,-2.597421,53.51602
1800WK07281,Abram,Wigan,-2.590488,53.51634
1800WK08601,Abram,Wigan,-2.595129,53.51176
1800WK08721,Abram,Wigan,-2.592437,53.50359
1800WK37751,Abram,Wigan,-2.596103,53.51345
1800WK37761,Abram,Wigan,-2.595438,53.51225
1800WK37771,Abram,Wigan,-2.595767,53.51315
1800WK37781,Abram,Wigan,-2.592514,53.50917
1800WK37791,Abram,Wigan,-2.592657,53.50855
1800WK37801,Abram,Wigan,-2.592547,53.50718
1800WK37811,Abram,Wigan,-2.592503773,53.50622041
1800WK37821,Abram,Wigan,-2.59269,53.50552
1800WK37831,Abram,Wigan,-2.591986,53.50265
1800WK37841,Abram,Wigan,-2.592191,53.5033
1800WK37861,Abram,Wigan,-2.591971,53.49722
1800WK37871,Abram,Wigan,-2.591902,53.49663
1800WKH2991,Abram,Wigan,-2.592861,53.51561
1800WKH2992,Abram,Wigan,-2.592861,53.51561
1800WKH3001,Abram,Wigan,-2.590076,53.51601
1800WKH3002,Abram,Wigan,-2.590076,53.51601
1800SG00051,Adswood,,-2.17701,53.3943
1800SG00061,Adswood,,-2.17656,53.39422
1800SG00071,Adswood,,-2.17958,53.39495
1800SG00081,Adswood,,-2.17945,53.39503
1800SG05341,Adswood,,-2.180998,53.38317
1800SG05351,Adswood,,-2.180199,53.38627
1800SG05991,Adswood,,-2.183091,53.38747
1800SG07301,Adswood,,-2.167446,53.38917
1800SG07311,Adswood,,-2.168542,53.38868
1800SG07321,Adswood,,-2.169265,53.3889
1800SG07331,Adswood,,-2.169729,53.38837
1800SG07341,Adswood,,-2.169618,53.39082
1800SG07351,Adswood,,-2.169814,53.39087
1800SG07361,Adswood,,-2.172438,53.39291
1800SG07371,Adswood,,-2.174962,53.39222
1800SG07381,Adswood,,-2.176261,53.39365
1800SG07391,Adswood,,-2.174414,53.39445
1800SG07401,Adswood,,-2.171194,53.39393
1800SG07411,Adswood,,-2.167611,53.3928
1800SG07421,Adswood,,-2.167446,53.39289
1800SG07961,Adswood,,-2.185896,53.39616
1800SG07971,Adswood,,-2.185441,53.39543
1800SG07981,Adswood,,-2.184635,53.39325
1800SG08011,Adswood,,-2.184089,53.39217
1800SG08021,Adswood,,-2.183073,53.39014
1800SG08031,Adswood,,-2.181881,53.38927
